Year,Place,Source
2010,3,https://en.wikipedia.org/wiki/2009%E2%80%9310_Barangay_Ginebra_Kings_season
2011,3,https://en.wikipedia.org/wiki/2010%E2%80%9311_Barangay_Ginebra_Kings_season
2012,4,https://en.wikipedia.org/wiki/2011%E2%80%9312_Barangay_Ginebra_Kings_season
2013,6,https://en.wikipedia.org/wiki/2012%E2%80%9313_Barangay_Ginebra_San_Miguel_season
2014,1,https://en.wikipedia.org/wiki/2013%E2%80%9314_Barangay_Ginebra_San_Miguel_season
2015,5,https://en.wikipedia.org/wiki/2014%E2%80%9315_Barangay_Ginebra_San_Miguel_season
2016,4,https://en.wikipedia.org/wiki/2015%E2%80%9316_Barangay_Ginebra_San_Miguel_season
2017,7,https://en.wikipedia.org/wiki/2016%E2%80%9317_Barangay_Ginebra_San_Miguel_season
2018,4,https://en.wikipedia.org/wiki/2017%E2%80%9318_Barangay_Ginebra_San_Miguel_season
2019,3,https://en.wikipedia.org/wiki/2019_Barangay_Ginebra_San_Miguel_season
2020,1,https://en.wikipedia.org/wiki/2020_Barangay_Ginebra_San_Miguel_season
2021,8,https://en.wikipedia.org/wiki/2021_Barangay_Ginebra_San_Miguel_season
2022,4,https://en.wikipedia.org/wiki/2022%E2%80%9323_Barangay_Ginebra_San_Miguel_season
